"num_caso","SEX","FEC_NAC","FEC_RIG_PEN","MON_PENSION","Edad","T_Pension"
364,"F","1956/09/19","2016/08/25",324120,64,4
365,"M","1957/07/17","2019/06/22",211418.6,63,1
366,"M","1957/06/08","2019/05/08",142230.85,63,1
367,"F","1957/06/16","2017/05/27",168940.2,63,3
368,"M","1957/05/19","2019/04/27",156275.55,63,1
369,"F","1957/06/02","2017/06/02",317327.15,63,3
370,"M","1957/06/26","2019/05/27",190148.5,63,1
371,"F","1957/08/10","2017/07/22",167783,63,3
372,"F","1957/07/19","2017/06/24",154261.25,63,3
373,"F","1957/08/11","2017/08/19",280938.65,63,3
374,"F","1957/08/25","2017/08/22",139435,63,3
375,"M","1957/07/19","2019/06/22",155778.35,63,1
376,"F","1957/09/12","2017/08/19",318787,63,3
377,"M","1957/08/30","2019/08/31",158563.9,63,1
378,"F","1957/05/07","2017/04/29",235335.2,63,3
379,"F","1957/06/23","2017/09/30",184210.95,63,3
380,"F","1957/08/13","2017/07/22",190546.4,63,3
381,"M","1957/08/31","2019/08/05",131968.1,63,1
382,"F","1957/09/09","2017/09/30",65911.65,63,3
383,"M","1957/09/26","2019/08/31",263055.8,63,1
384,"M","1957/09/08","2019/10/26",284987.25,63,1
385,"F","1957/08/12","2017/09/30",64098.35,63,3
386,"M","1957/12/24","2019/12/21",222442.3,63,1
387,"F","1957/12/14","2017/12/23",69993.4,63,3
388,"F","1957/10/16","2018/09/01",131041.45,63,2
389,"F","1957/12/25","2017/12/23",321273.55,63,3
390,"M","1957/09/19","2020/02/01",222528.6,63,0
391,"F","1955/08/15","2020/05/23",86961.15,65,0
392,"M","1957/10/03","2019/09/28",79704.45,63,1
393,"F","1957/01/07","2016/12/24",324120,63,4
394,"F","1957/10/09","2018/10/27",67449.3,63,2
395,"M","1957/09/24","2019/08/31",324120,63,1
396,"M","1957/10/23","2020/08/01",99159.95,63,0
397,"M","1957/10/14","2019/10/26",136187.5,63,1
398,"F","1957/09/07","2017/09/30",318787,63,3
399,"M","1957/09/19","2019/08/31",90384.35,63,1
400,"M","1957/11/20","2019/10/26",95828.65,63,1
401,"F","1957/09/20","2017/08/22",106719.75,63,3
402,"M","1957/12/11","2019/11/23",170634.75,63,1
403,"F","1958/01/05","2018/11/24",138806.8,62,2
404,"M","1957/12/25","2019/12/21",301103.55,63,1
405,"M","1958/01/19","2019/12/21",163492.8,62,1
406,"F","1957/12/15","2017/12/23",197135.5,63,3
407,"M","1958/01/23","2020/03/29",324120,62,0
408,"M","1957/10/08","2020/02/03",324120,63,0
409,"F","1958/01/23","2018/06/23",199068.65,62,2
410,"M","1958/02/10","2020/02/01",185664.6,62,0
411,"F","1954/11/01","2015/11/03",73885.05,66,5
412,"M","1957/12/22","2019/12/22",198848.55,63,1
413,"M","1958/02/06","2020/02/01",167840.4,62,0
414,"F","1957/12/30","2019/08/31",271655.55,63,1
